"","gnis_id","Parkname","Region","State","Unit Code","Unit Name","Unit Type","Visitors","YearRaw","lon","lat","Gnis Id"
"121","1662323","Channel Islands","PW","CA","CHIS","Channel Islands National Park","National Park",364807,"2016",-119.739669210979,34.0165780113139,"1662323"
"122","1448008","Canyonlands","IM","UT","CANY","Canyonlands National Park","National Park",776218,"2016",-109.877014972081,38.243557436626,"1448008"
"123","2091841","Little Rock Central High School","MW","AR","CHSC","Little Rock Central High School National Historic Site","National Historic Site",129540,"2016",-92.2997575299792,34.7369611975615,"2091841"
"124","2733430","White House","NC","DC","WHHO","White House","Other Designation",611207,"2016",-77.0365558557396,38.8970477853158,"2733430"
"125","1477005","Booker T. Washington","NE","VA","BOWA","Booker T. Washington National Monument","National Monument",23440,"2016",-79.7318771572578,37.1148209634707,"1477005"
"126","560393","Jean Lafitte","SE","LA","JELA","Jean Lafitte National Historical Park and Preserve","National Historical Park and Preserve",438420,"2016",-90.147220664331,29.8191848302278,"560393"
"127","1261888","Jewel Cave","MW","SD","JECA","Jewel Cave National Monument","National Monument",137275,"2016",-103.830004375116,43.7310364804693,"1261888"
"128","475845","Fort Larned","MW","KS","FOLS","Fort Larned National Historic Site","National Historic Site",31060,"2016",-99.216983667223,38.1844976112746,"475845"
"129","1879023","Kaloko-Honokohau","PW","HI","KAHO","Kaloko-Honokohau National Historical Park","National Historical Park",185041,"2016",-156.03053019019,19.6808993527002,"1879023"
"130","2026588","Rosie the Riveter/World War II Home Front","PW","CA","RORI","Rosie the Riveter/World War II Home Front National Historical Park","National Historical Park",64425,"2016",-122.366548278874,37.9086732850779,"2026588"
"131","1888919","Fort Stanwix","NE","NY","FOST","Fort Stanwix National Monument","National Monument",94006,"2016",-75.4555783393792,43.2105430806385,"1888919"
"132","1888966","Thaddeus Kosciuszko","NE","PA","THKO","Thaddeus Kosciuszko National Memorial","National Memorial",2794,"2016",-75.1473222182523,39.9434611860423,"1888966"
"133","1888973","William Howard Taft","MW","OH","WIHO","William Howard Taft National Historic Site","National Historic Site",30723,"2016",-84.5075940935442,39.1197110407433,"1888973"
"134","480986","Fort Scott","MW","KS","FOSC","Fort Scott National Historic Site","National Historic Site",29291,"2016",-94.7044467294538,37.8436258768248,"480986"
"135","1082175","Perry's Victory and International Peace Memorial","MW","OH","PEVI","Perry's Victory and International Peace Memorial","National Memorial",142152,"2016",-82.8119087078673,41.6537984853911,"1082175"
"136","1888932","James A. Garfield","MW","OH","JAGA","James A. Garfield National Historic Site","National Historic Site",45437,"2016",-81.3508694030905,41.6648736290431,"1888932"
"137","583623","Catoctin Mountain Park","NC","MD","CATO","Catoctin Mountain Park","Other Designation",221750,"2016",-77.4612238024128,39.648221233114,"583623"
"138","23944","Rainbow Bridge","IM","UT","RABR","Rainbow Bridge National Monument","National Monument",86369,"2016",-110.965520987197,37.0778933772107,"23944"
"139","1454484","Natural Bridges","IM","UT","NABR","Natural Bridges National Monument","National Monument",101843,"2016",-110.002254561731,37.6045386980921,"1454484"
"140","2559483","Bent's Old Fort","IM","CO","BEOL","Bent's Old Fort National Historic Site","National Historic Site",31948,"2016",-103.426659478243,38.03978174052,"2559483"
"141","689020","Gulf Islands","SE","FL","GUIS","Gulf Islands National Seashore","National Seashore",4771309,"2016",-86.9099698081627,30.3730703804048,"689020"
"142","35848","Walnut Canyon","IM","AZ","WACA","Walnut Canyon National Monument","National Monument",152444,"2016",-111.495041407064,35.1612304706626,"35848"
"143","1462531","Appomattox Court House","NE","VA","APCO","Appomattox Court House National Historical Park","National Historical Park",303139,"2016",-78.8008967688407,37.3827556410728,"1462531"
"144","649530","Pipestone","MW","MN","PIPE","Pipestone National Monument","National Monument",67489,"2016",-96.3247637008471,44.0135272178816,"649530"
"145","2733431","World War II Valor in the Pacific","PW","HI","VALR","World War II Valor in the Pacific National Monument","National Monument",1819020,"2016",NA,NA,NA
"146","294450","Biscayne","SE","FL","BISC","Biscayne National Park","National Park",514709,"2016",-80.2102411862698,25.4905916099637,"294450"
"147","600051","Minute Man","NE","MA","MIMA","Minute Man National Historical Park","National Historical Park",1049414,"2016",-71.2960421230719,42.4534092434694,"600051"
