Incident Date,Park Name,Cause of Death,"Cause of Death Group 
(Used in the NPS Mortality Dashboard) ",Intent,Outcome,Sex,Age Range,Activity
8/6/18,Natchez Trace Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,55-64,Driving 
8/8/18,Gateway National Recreation Area,Suicide,Suicide,Intentional,Fatal injury,Male,65+,Suicide
8/8/18,Olympic National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,65+,Driving 
8/9/18,Sequoia & Kings Canyon National Parks,Drowning,Drowning,Unintentional,Fatal Injury,Male,15-24,Swimming
8/9/18,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,65+,Driving 
8/10/18,Gulf Islands National Seashore,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Sitting
8/11/18,Ozark National Scenic Riverways,Fall,Fall,Unintentional,Fatal Injury,Female,25-34,Climbing
8/11/18,Yosemite National Park,Suicide,Suicide,Intentional,Fatal injury,Male,45-54,Suicide
8/11/18,Bighorn Canyon National Recreation Area,Vessel Incident,Other Transportation,Unintentional,Fatal Injury,Male,35-44,Vessel Related
8/11/18,Bighorn Canyon National Recreation Area,Vessel Incident,Other Transportation,Unintentional,Fatal Injury,Male,35-44,Vessel Related
8/11/18,Bighorn Canyon National Recreation Area,Vessel Incident,Other Transportation,Unintentional,Fatal Injury,Female,55-64,Vessel Related
8/11/18,Bighorn Canyon National Recreation Area,Vessel Incident,Other Transportation,Unintentional,Fatal Injury,Male,55-64,Vessel Related
8/12/18,Olympic National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,15-24,Not Reported
8/12/18,Great Smoky Mountains National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,45-54,Not Reported
8/13/18,Zion National Park,Fall,Fall,Unintentional,Fatal Injury,Male,45-54,Hiking
8/13/18,Olympic National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Female,25-34,Hiking
8/14/18,Mount Rainier National Park,Fall,Fall,Unintentional,Fatal Injury,Male,35-44,Climbing
8/14/18,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Not Reported,Not Reported,Driving 
8/14/18,Lake Mead National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Not Reported,Not Reported,Driving 
8/15/18,Dry Tortugas National Park,Drowning,Drowning,Unintentional,Fatal Injury,Male,45-54,Snorkeling
8/15/18,San Juan Island National Historical Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,Not Reported,Not Reported
8/16/18,Yosemite National Park,Suicide,Suicide,Intentional,Fatal injury,Male,55-64,Suicide
8/18/18,Big Cypress National Preserve,Homicide,Homicide,Intentional,Fatal Injury,Male,15-24,Homicide
8/20/18,Blue Ridge Parkway,Suicide,Suicide,Intentional,Fatal injury,Male,35-44,Suicide
8/21/18,Appalachian National Scenic Trail,Falling tree/branch,Environmental,Unintentional,Fatal Injury,Male,65+,Hiking
