Incident Date,Park Name,Cause of Death,"Cause of Death Group 
(Used in the NPS Mortality Dashboard) ",Intent,Outcome,Sex,Age Range,Activity
3/28/18,Organ Pipe Cactus National Monument,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,25-34,Illegal activity
3/31/18,Gateway National Recreation Area,Suicide,Suicide,Intentional,Fatal injury,Male,15-24,Suicide
3/31/18,National Mall & Memorial Parks,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,55-64,Not Reported
4/2/18,Blue Ridge Parkway,Suicide,Suicide,Intentional,Fatal injury,Male,25-34,Suicide
4/3/18,Great Falls Park,Suicide,Suicide,Intentional,Fatal injury,Male,65+,Suicide
4/3/18,Yosemite National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,35-44,Other
4/4/18,Saint Croix National Scenic Riverway,Suicide,Suicide,Intentional,Fatal injury,Male,15-24,Suicide
4/5/18,Lake Mead National Recreation Area,Suicide,Suicide,Intentional,Fatal injury,Male,65+,Suicide
4/6/18,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,15-24,Driving 
4/9/18,Chattahoochee River National Recreation Area,Suicide,Suicide,Intentional,Fatal injury,Male,55-64,Suicide
4/10/18,Blue Ridge Parkway,Homicide,Homicide,Intentional,Fatal Injury,Male,15-24,Homicide
4/10/18,Manassas National Battlefield Park,Suicide,Suicide,Intentional,Fatal injury,Not Reported,Not Reported,Suicide
4/10/18,Rock Creek Park,Suicide,Suicide,Intentional,Fatal injury,Female,Not Reported,Suicide
4/10/18,Organ Pipe Cactus National Monument,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,Not Reported,Illegal activity
4/12/18,Curecanti National Recreation Area,Suicide,Suicide,Intentional,Fatal injury,Male,35-44,Suicide
4/12/18,Saguaro National Park,Suicide,Suicide,Intentional,Fatal injury,Male,25-34,Suicide
4/14/18,Golden Gate National Recreation Area,Medical - Unknown,Medical - Unknown,Medical,Fatal Injury,Male,65+,Not Reported
4/15/18,Lake Mead National Recreation Area,Suicide,Suicide,Intentional,Fatal injury,Male,35-44,Suicide
4/16/18,Gateway National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,35-44,Not Reported
4/16/18,New River Gorge National River,Suicide,Suicide,Intentional,Fatal injury,Female,25-34,Suicide
4/18/18,Grand Canyon National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Female,65+,Other
4/18/18,Organ Pipe Cactus National Monument,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,35-44,Illegal activity
4/20/18,Lake Roosevelt National Recreation Area,Suicide,Suicide,Intentional,Fatal injury,Male,55-64,Suicide
4/21/18,Zion National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Other
4/21/18,Glen Canyon National Recreation Area,Suicide,Suicide,Intentional,Fatal injury,Male,45-54,Suicide
4/23/18,Grand Canyon National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,55-64,Driving 
4/23/18,Mississippi National River & Recreation Area,Other,Other,Unintentional,Fatal Injury,Male,45-54,Hiking
4/24/18,Golden Gate National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,45-54,Not Reported
4/24/18,Whiskeytown National Recreation Area,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,35-44,Driving 
4/25/18,Great Smoky Mountains National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,55-64,Driving 
4/27/18,Rock Creek Park,Suicide,Suicide,Intentional,Fatal injury,Female,25-34,Suicide
4/27/18,New River Gorge National River,Suicide,Suicide,Intentional,Fatal injury,Male,35-44,Suicide
4/28/18,Yosemite National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,35-44,Driving 
4/28/18,Natchez Trace Parkway,Suicide,Suicide,Intentional,Fatal injury,Female,55-64,Suicide
4/29/18,Baltimore-Washington Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,45-54,Driving 
4/30/18,Colonial National Historical Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,65+,Driving 
5/4/18,Colonial National Historical Park,Drowning,Drowning,Unintentional,Fatal Injury,Male,25-34,Swimming
5/4/18,Joshua Tree National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
5/5/18,Sequoia & Kings Canyon National Parks,Fall,Fall,Unintentional,Fatal Injury,Male,25-34,Climbing
5/5/18,Glen Canyon National Recreation Area,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Fishing
5/5/18,Haleakala National Park,Rockfall,Environmental,Unintentional,Fatal Injury,Male,25-34,Sitting
5/6/18,Glen Canyon National Recreation Area,Fall,Fall,Unintentional,Fatal Injury,Male,25-34,Photographing
5/7/18,Sequoia & Kings Canyon National Parks,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Other
5/9/18,Lake Roosevelt National Recreation Area,Suicide,Suicide,Intentional,Fatal injury,Male,25-34,Suicide
5/9/18,Katmai National Park & Preserve,Suicide,Suicide,Intentional,Fatal injury,Female,35-44,Suicide
5/11/18,Golden Gate National Recreation Area,Suicide,Suicide,Intentional,Fatal injury,Female,25-34,Suicide
5/12/18,Little River Canyon National Preserve,Drowning,Drowning,Unintentional,Fatal Injury,Male,0-14,Swimming
5/12/18,Grand Canyon National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,55-64,Sleeping
5/13/18,Sequoia & Kings Canyon National Parks,Fall,Fall,Unintentional,Fatal Injury,Male,25-34,Hiking
5/13/18,North Cascades National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,15-24,Driving 
5/13/18,Big Cypress National Preserve,Suicide,Suicide,Intentional,Fatal injury,Male,65+,Suicide
5/16/18,Glen Canyon National Recreation Area,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Other
5/16/18,Organ Pipe Cactus National Monument,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,Not Reported,Illegal activity
5/17/18,Clara Barton National Historic Site,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Driving 
5/17/18,Shenandoah National Park,Suicide,Suicide,Intentional,Fatal injury,Female,65+,Suicide
5/18/18,George Washington Memorial Parkway,Suicide,Suicide,Intentional,Fatal injury,Male,45-54,Suicide
5/18/18,Colorado National Monument,Suicide,Suicide,Intentional,Fatal injury,Female,25-34,Suicide
5/19/18,Petroglyph National Monument,Suicide,Suicide,Intentional,Fatal Injury,Male,55-64,Suicide
5/20/18,Lake Meredith National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,55-64,Vessel Related
5/20/18,Glen Canyon National Recreation Area,Fall,Fall,Unintentional,Fatal Injury,Female,35-44,Diving (Land)
5/21/18,Chattahoochee River National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,15-24,Swimming
5/21/18,Yosemite National Park,Fall,Fall,Unintentional,Fatal Injury,Male,25-34,Hiking
5/21/18,Shenandoah National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,45-54,Driving 
5/21/18,Golden Gate National Recreation Area,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
5/22/18,Appalachian National Scenic Trail,Drowning,Drowning,Unintentional,Fatal Injury,Male,35-44,Swimming
5/23/18,Voyageurs National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,55-64,Sleeping
5/24/18,Yellowstone National Park,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Female,65+,Driving 
5/25/18,Delaware Water Gap National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,35-44,Vessel Related
5/25/18,Glacier National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,55-64,Bicycling
5/26/18,Delaware Water Gap National Recreation Area,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,55-64,Hiking
5/26/18,Lake Mead National Recreation Area,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,35-44,Vessel Related
5/26/18,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,25-34,Driving 
6/1/18,Joshua Tree National Park,Homicide,Homicide,Intentional,Fatal Injury,Male,45-54,Homicide
6/1/18,Cumberland Gap National Historical Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,25-34,Driving 
6/1/18,Cumberland Gap National Historical Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,25-34,Driving 
6/2/18,New River Gorge National River,Drowning,Drowning,Unintentional,Fatal Injury,Male,45-54,Swimming
6/2/18,Chickasaw National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,25-34,Swimming
6/2/18,Yosemite National Park,Fall,Fall,Unintentional,Fatal Injury,Male,35-44,Climbing
6/2/18,Yosemite National Park,Fall,Fall,Unintentional,Fatal Injury,Male,45-54,Climbing
6/2/18,Chattahoochee River National Recreation Area,Fall,Fall,Unintentional,Fatal Injury,Male,25-34,Other
6/3/18,Cape Hatteras National Seashore,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,65+,Swimming
6/6/18,Cape Hatteras National Seashore,Drowning,Drowning,Unintentional,Fatal Injury,Male,55-64,Swimming
6/6/18,Organ Pipe Cactus National Monument,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,Not Reported,Illegal activity
6/6/18,Cape Hatteras National Seashore,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,55-64,Swimming
6/7/18,Mount Rainier National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,65+,Hiking
6/8/18,Grand Canyon National Park,Hyperthermia,Environmental,Unintentional,Fatal Injury,Male,55-64,Hiking
6/8/18,National Capital Parks-East,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,35-44,Vessel Related
6/8/18,Great Smoky Mountains National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,15-24,Driving 
6/8/18,Delaware Water Gap National Recreation Area,Suicide,Suicide,Intentional,Fatal injury,Male,45-54,Suicide
6/8/18,Blue Ridge Parkway,Suicide,Suicide,Intentional,Fatal injury,Male,25-34,Suicide
6/9/18,Grand Teton National Park,Aircraft incident,Other Transportation,Unintentional,Fatal Injury,Female,65+,Flying
6/9/18,Grand Teton National Park,Aircraft incident,Other Transportation,Unintentional,Fatal Injury,Male,65+,Flying
6/9/18,Saint Croix National Scenic Riverway,Drowning,Drowning,Unintentional,Fatal Injury,Male,15-24,Not Reported
6/9/18,Statue Of Liberty National Monument,Undetermined,Undetermined,Undetermined,Fatal Injury,Female,65+,Walking
6/10/18,Sequoia & Kings Canyon National Parks,Drowning,Drowning,Unintentional,Fatal Injury,Male,35-44,Swimming
6/11/18,Yosemite National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,45-54,Hiking
6/12/18,Chattahoochee River National Recreation Area,Suicide,Suicide,Intentional,Fatal injury,Male,55-64,Suicide
6/13/18,Grand Canyon National Park,Poisoning - alcohol,Poisoning,Unintentional,Fatal Injury,Male,35-44,Other
6/15/18,Organ Pipe Cactus National Monument,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,Not Reported,Illegal activity
6/17/18,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,35-44,Swimming
6/17/18,North Cascades National Park,Suicide,Suicide,Intentional,Fatal injury,Male,25-34,Suicide
6/19/18,Katmai National Park & Preserve,Drowning,Drowning,Unintentional,Fatal Injury,Male,65+,Vessel Related
6/20/18,Organ Pipe Cactus National Monument,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Illegal activity
6/21/18,Organ Pipe Cactus National Monument,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,35-44,Illegal activity
6/22/18,Wrangell - St Elias National Park & Reserve,Drowning,Drowning,Unintentional,Fatal Injury,Male,55-64,Crossing River
6/22/18,Wrangell - St Elias National Park & Reserve,Drowning,Drowning,Unintentional,Fatal Injury,Female,55-64,Crossing River
6/22/18,Grand Canyon National Park,Hyperthermia,Environmental,Unintentional,Fatal Injury,Male,15-24,Hiking
6/22/18,George Washington Memorial Parkway,Medical - Not during physical activity,Medical - Not during physical activity,Medical,Fatal Injury,Male,65+,Driving 
6/23/18,Sequoia & Kings Canyon National Parks,Drowning,Drowning,Unintentional,Fatal Injury,Male,15-24,Swimming
6/24/18,New River Gorge National River,Drowning,Drowning,Unintentional,Fatal Injury,Male,45-54,Swimming
6/24/18,Mount Rushmore National Memorial,Suicide,Suicide,Intentional,Fatal injury,Male,45-54,Suicide
6/25/18,Grand Teton National Park,Fall,Fall,Unintentional,Fatal Injury,Male,25-34,Climbing
6/28/18,Cape Hatteras National Seashore,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,45-54,Swimming
6/29/18,Great Smoky Mountains National Park,Bicycle only crash,Other Transportation,Unintentional,Fatal Injury,Female,55-64,Bicycling
6/30/18,Dinosaur National Monument,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Female,25-34,Driving 
6/30/18,Blue Ridge Parkway,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,65+,Driving 
6/30/18,Shenandoah National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,45-54,Hiking
7/1/18,Great Smoky Mountains National Park,Suicide,Suicide,Intentional,Fatal injury,Male,35-44,Suicide
7/3/18,Lake Mead National Recreation Area,Drowning,Drowning,Unintentional,Fatal Injury,Male,15-24,Swimming
7/3/18,Grand Canyon National Park,Fall,Fall,Unintentional,Fatal Injury,Male,25-34,Photographing
7/3/18,Arches National Park,Hyperthermia,Environmental,Unintentional,Fatal Injury,Female,35-44,Hiking
7/4/18,Assateague Island National Seashore,Drowning,Drowning,Unintentional,Fatal Injury,Male,35-44,Swimming
7/5/18,Rocky Mountain National Park,Fall,Fall,Unintentional,Fatal Injury,Male,35-44,Hiking
7/5/18,Organ Pipe Cactus National Monument,Hyperthermia,Environmental,Unintentional,Fatal Injury,Male,15-24,Illegal activity
7/5/18,Death Valley National Park,Poisoning - drugs,Poisoning,Unintentional,Fatal Injury,Female,35-44,Other
7/8/18,Saguaro National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Hiking
7/10/18,Wrangell - St Elias National Park & Reserve,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,45-54,Hiking
7/12/18,Sequoia & Kings Canyon National Parks,Fall,Fall,Unintentional,Fatal Injury,Male,25-34,Climbing
7/12/18,Yellowstone National Park,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Walking
7/12/18,Lake Meredith National Recreation Area,Medical - Unknown,Medical - Unknown,Medical,Fatal Injury,Male,25-34,Not Reported
7/12/18,Yosemite National Park,Undetermined,Undetermined,Undetermined,Fatal Injury,Not Reported,Not Reported,Not Reported
7/13/18,Lake Mead National Recreation Area,Poisoning - drugs,Poisoning,Unintentional,Fatal Injury,Male,25-34,Other
7/13/18,Cape Cod National Seashore,Undetermined,Undetermined,Undetermined,Fatal Injury,Male,45-54,Sitting
7/14/18,Great Smoky Mountains National Park,Motor Vehicle Crash,Motor Vehicle Crash,Unintentional,Fatal Injury,Male,65+,Driving 
7/14/18,Yellowstone National Park,Suicide,Suicide,Intentional,Fatal injury,Male,55-64,Suicide
7/15/18,Cape Cod National Seashore,Medical - During physical activity,Medical - During physical activity,Medical,Fatal Injury,Male,65+,Vessel Related
