"","Parkname","gnis_id","Count","TotalValue","lon","lat","Gnis Id"
"219","Moores Creek","1025558",10,691449,-78.1103137251677,34.4582145722664,"1025558"
"220","Morristown","878495",10,2708084,-74.5356359090891,40.7645265977202,"878495"
"221","Mount Rainier","1528416",10,11648682,-121.704402928391,46.8607718396586,"1528416"
"222","Mount Rushmore","1262098",10,21677378,-103.452528909847,43.8803772943369,"1262098"
"223","Muir Woods","229295",10,9359592,-122.583964035123,37.8984686642497,"229295"
"224","Natchez","1888946",10,2070886,-91.3824558087215,31.5430252231432,"1888946"
"225","Natchez Trace","123648",10,58232566,-88.7954494422903,34.1864194919432,"123648"
"226","National Park of American Samoa","1966567",10,110517,-169.452806403674,-14.2368661920542,"1966567"
"227","Natural Bridges","1454484",10,914137,-110.002254561731,37.6045386980921,"1454484"
"228","Navajo","8538",10,714813,-110.536267478887,36.6854969039155,"8538"
"229","New Bedford Whaling","2733436",10,2572185,-70.9231966641938,41.6356565076537,"2733436"
"230","Nicodemus","2733440",10,31026,-99.6178505072453,39.3903671888188,"2733440"
"231","Ninety Six","1227788",10,682015,-82.0163643238575,34.1427424816667,"1227788"
"232","Niobrara","1888949",10,687001,-99.6319967565102,42.7258734346153,"1888949"
"233","Noatak","1413640",10,85891,-159.394514783442,68.1849657964727,"1413640"
"234","North Cascades","1528421",10,230844,-121.346488143864,48.833297508436,"1528421"
"235","Ocmulgee","1888951",10,1236237,-83.596763771625,32.8397446087211,"1888951"
"236","Olympic","1530459",10,30965763,-123.618473417334,47.7952033779385,"1530459"
"237","Oregon Caves","1147260",10,775373,-123.40165602178,42.1031445508893,"1147260"
"238","Organ Pipe Cactus","15492",10,2483015,-112.857342434891,32.0358603172125,"15492"
"239","Ozark","751466",10,13600839,-91.196032304034,37.1471939532715,"751466"
"240","Padre Island","1383785",10,5977345,-97.3410751758906,26.7058112132131,"1383785"
"241","Palo Alto Battlefield","1888952",10,377085,-97.4627292236417,26.0247479293887,"1888952"
"242","Paterson Great Falls","2053533",1,177498,-74.1802267987357,40.9159061569319,"2053533"
"243","Pea Ridge","53246",10,1001324,-94.0344520498212,36.4547879771843,"53246"
"244","Pecos","937161",10,365421,-105.674904718114,35.538127022753,"937161"
"245","Pennsylvania Avenue","2733439",10,1816831,-77.0177583836288,38.8928262761654,"2733439"
"246","Perry's Victory and International Peace Memorial","1082175",10,1335418,-82.8119087078673,41.6537984853911,"1082175"
"247","Petersburg","1498529",10,1828795,-77.363019103214,37.2280033255614,"1498529"
"248","Petrified Forest","23864",10,6600499,-109.674696615232,34.9886873028713,"23864"
"249","Petroglyph","920404",10,1160627,-106.752266314597,35.1342648044658,"920404"
"250","Pictured Rocks","634820",10,5546435,-86.3159448140412,46.5638407513202,"634820"
"251","Pinnacles","247533",10,2219789,-121.181008141035,36.4902427557171,"247533"
"252","Pipe Spring","9526",10,524360,-112.739868127172,36.8628321819799,"9526"
"253","Pipestone","649530",10,703292,-96.3247637008471,44.0135272178816,"649530"
"254","Piscataway Park","1676813",10,1938279,-77.0551179615728,38.6838991845384,"1676813"
"255","Point Reyes","234493",10,23249493,-122.879771200388,38.0551161979788,"234493"
"256","Port Chicago Naval Magazine","1967105",7,6349,-122.030173459645,38.0568597121343,"1967105"
"257","President William Jefferson Clinton Birthplace Home","2733433",6,60563,-93.5963674851553,33.6676266489763,"2733433"
